word,frequency
some,1
people,2
really,2
sleep,2
like,2
dogs,1
damn,1
at,2
least,1
make,1
it,3
look,1
cute,1
if,1
you,2
sleeping,1
on,1
the,1
floor,1
so,2
saddd,1
your,1
photos,1
capture,1
emotion,1
great,1
work,1
in,1
black,1
and,2
white,1
dont,1
love,1
when,1
amp,1
their,1
motorcycle,1
530am,1
wakes,1
up,1
everyone,1
else,1
trying,1
to,5
for,4
another,1
hour,1
presidency,1
profit,1
impeach,1
rt,2
boom,2
trump,2
has,2
called,2
subpoenaing,2
all,4
of,2
barack,2
obamas,2
records,2
they,4
want,4
do,2
is,2
impede,2
investig,2
