"City, State",State,City,E,N,A,C,O
"Abbeville, Louisiana",Abbeville,Louisiana,-0.0,0.02,0.04,-0.03,-0.04
"Aberdeen, Maryland",Aberdeen,Maryland,-0.04,0.08,-0.07,-0.03,-0.07
"Aberdeen, South Dakota",Aberdeen,South Dakota,-0.03,0.04,0.02,-0.01,-0.03
"Aberdeen, Washington",Aberdeen,Washington,-0.04,-0.01,-0.02,-0.01,0.01
"Abilene, Kansas",Abilene,Kansas,-0.04,0.11,0.01,-0.03,-0.07
"Abilene, Texas",Abilene,Texas,-0.06,0.08,0.03,0.06,-0.02
"Abingdon, Maryland",Abingdon,Maryland,-0.05,0.08,0.0,-0.02,0.03
"Abingdon, Virginia",Abingdon,Virginia,-0.03,0.1,-0.01,-0.0,0.05
"Abington, Massachusetts",Abington,Massachusetts,0.01,0.05,-0.0,-0.02,0.02
"Abington, Pennsylvania",Abington,Pennsylvania,0.01,0.0,0.01,-0.02,-0.02
"Acton, Massachusetts",Acton,Massachusetts,-0.02,0.03,-0.04,-0.04,-0.03
"Acworth, Georgia",Acworth,Georgia,0.02,-0.05,0.08,0.03,-0.08
"Ada, Oklahoma",Ada,Oklahoma,-0.02,0.04,0.01,0.01,-0.03
"Addison, Illinois",Addison,Illinois,0.01,0.03,0.01,-0.01,-0.09
"Adrian, Michigan",Adrian,Michigan,-0.01,0.04,0.0,-0.01,-0.03
"Affton, Missouri",Affton,Missouri,-0.01,0.05,0.02,-0.01,-0.1
"Agawam, Massachusetts",Agawam,Massachusetts,0.01,0.07,-0.04,-0.01,0.0
"Agoura Hills, California",Agoura Hills,California,0.04,-0.03,0.06,-0.02,0.05
"Ahwatukee, Arizona",Ahwatukee,Arizona,0.01,-0.01,0.02,-0.01,0.06
"Aiea, Hawaii",Aiea,Hawaii,-0.02,-0.03,0.08,-0.0,0.03
"Aiken, South Carolina",Aiken,South Carolina,-0.08,0.12,0.0,-0.01,-0.09
"Akron, Ohio",Akron,Ohio,-0.02,0.03,-0.08,0.05,0.0
"Alabaster, Alabama",Alabaster,Alabama,-0.02,-0.06,0.07,0.01,0.01
"Alameda, California",Alameda,California,-0.02,0.01,-0.04,-0.04,0.09
"Alamogordo, New Mexico",Alamogordo,New Mexico,-0.07,0.05,-0.03,0.03,-0.06
"Albany, California",Albany,California,-0.0,0.05,-0.0,-0.04,0.03
"Albany, Georgia",Albany,Georgia,0.03,-0.06,-0.03,0.05,0.02
"Albany, New York",Albany,New York,0.03,0.02,-0.07,0.03,0.08
"Albany, Oregon",Albany,Oregon,-0.03,0.0,0.04,-0.02,-0.07
"Albemarle, North Carolina",Albemarle,North Carolina,-0.02,0.02,0.0,0.02,-0.06
"Albert Lea, Minnesota",Albert Lea,Minnesota,-0.01,-0.03,0.08,0.0,-0.1
"Albertville, Alabama",Albertville,Alabama,-0.05,0.03,0.02,0.02,-0.1
"Albion, Michigan",Albion,Michigan,-0.04,0.03,0.01,-0.02,-0.02
"Albion, New York",Albion,New York,0.0,0.02,-0.04,0.03,-0.11
"Albuquerque, New Mexico",Albuquerque,New Mexico,-0.05,-0.01,0.04,0.04,0.12
"Aledo, Texas",Aledo,Texas,-0.02,0.02,0.02,-0.05,0.04
"Alexander City, Alabama",Alexander City,Alabama,0.02,0.01,0.03,-0.01,0.03
"Alexandria, Kentucky",Alexandria,Kentucky,-0.01,0.03,0.01,0.02,-0.01
"Alexandria, Louisiana",Alexandria,Louisiana,0.04,-0.01,0.01,0.03,-0.01
"Alexandria, Minnesota",Alexandria,Minnesota,-0.02,-0.02,0.04,-0.01,-0.01
"Alexandria, Virginia",Alexandria,Virginia,-0.01,0.04,-0.08,-0.03,0.02
"Algonquin, Illinois",Algonquin,Illinois,-0.01,-0.0,0.07,-0.02,0.04
"Alhambra, California",Alhambra,California,-0.06,0.03,0.01,-0.1,-0.12
"Alice, Texas",Alice,Texas,-0.01,0.0,0.04,0.0,-0.03
"Aliquippa, Pennsylvania",Aliquippa,Pennsylvania,0.0,0.05,-0.06,0.01,-0.1
"Aliso Viejo, California",Aliso Viejo,California,-0.04,-0.02,0.05,-0.02,-0.02
"Allegan, Michigan",Allegan,Michigan,-0.02,0.0,0.04,-0.01,-0.11
"Allen Park, Michigan",Allen Park,Michigan,0.02,-0.04,0.13,0.0,-0.0
"Allen, Texas",Allen,Texas,0.01,-0.04,0.14,-0.02,-0.03
"Allendale, Michigan",Allendale,Michigan,0.01,0.04,0.06,-0.04,-0.02
"Allentown, Pennsylvania",Allentown,Pennsylvania,-0.03,0.06,0.02,-0.03,-0.0
"Alliance, Nebraska",Alliance,Nebraska,-0.02,0.04,0.02,-0.0,-0.03
"Alliance, Ohio",Alliance,Ohio,-0.02,0.04,0.02,-0.01,-0.04
"Alma, Arkansas",Alma,Arkansas,-0.03,0.06,0.03,-0.03,-0.0
"Alma, Michigan",Alma,Michigan,-0.04,0.08,0.01,-0.01,-0.07
"Aloha, Oregon",Aloha,Oregon,-0.02,-0.02,0.08,-0.02,-0.01
"Alpena, Michigan",Alpena,Michigan,-0.05,0.06,-0.04,-0.01,-0.02
"Alpharetta, Georgia",Alpharetta,Georgia,0.01,0.0,0.01,-0.0,-0.03
"Alpine, Utah",Alpine,Utah,-0.03,0.02,0.05,0.01,-0.01
"Alsip, Illinois",Alsip,Illinois,-0.02,0.02,0.02,-0.0,0.03
"Alta Loma, California",Alta Loma,California,-0.02,0.03,-0.02,-0.02,-0.04
"Altadena, California",Altadena,California,-0.04,0.04,0.03,-0.01,0.04
"Altamonte Springs, Florida",Altamonte Springs,Florida,0.02,0.02,0.01,-0.02,0.03
"Alton, Illinois",Alton,Illinois,0.02,-0.05,0.03,0.02,-0.02
"Altoona, Iowa",Altoona,Iowa,-0.03,0.05,0.02,-0.03,-0.09
"Altoona, Pennsylvania",Altoona,Pennsylvania,-0.02,0.11,-0.01,-0.01,-0.1
"Altus, Oklahoma",Altus,Oklahoma,-0.05,0.02,0.01,0.02,-0.05
"Alvin, Texas",Alvin,Texas,-0.03,0.04,0.02,0.01,0.06
"Amarillo, Texas",Amarillo,Texas,-0.03,0.05,0.06,0.02,-0.01
