City,State,GeoBox0,GeoBox1,GeoBox3,GeoBox4,Extraversion,Neuroticism,Agreeableness,Conscientiousness,Openness
nyc,new_york,-74.25909,40.477399,-73.700181,40.916178,0.05,-0.04,-0.17,-0.03,0.15
la,california,-118.562114,33.951176,-118.187084,34.16603,0.09,-0.12,-0.06,-0.06,0.17
chicago,illinois,-87.940101,41.643919,-87.523984,42.023022,0.12,-0.1,-0.11,0.05,0.14
houston,texas,-95.909742,29.53707,-95.012053,30.110351,0.04,-0.08,-0.04,-0.01,0.03
phoenix,arizona,-112.399186,33.209328,-111.665849,33.701999,-0.01,-0.03,0.02,0.0,0.03
seattle,washington,-122.459696,47.481002,-122.224433,47.734136,-0.04,0.0,0.0,-0.07,0.16
portland,oregon,-122.836749,45.432536,-122.472025,45.652881,-0.05,-0.02,0.04,-0.0,0.1
san_francisco,california,-122.524687,37.72869,-122.356545,37.815604,0.05,-0.05,-0.04,-0.11,0.15
detroit,michigan,-83.287959,42.255192,-82.910439,42.450232,0.13,-0.13,-0.18,0.09,0.06
philadelphia,pennsylvania,-75.280298,39.867005,-74.955831,40.137959,0.03,-0.02,-0.15,0.03,0.12
dc,washington_dc,-77.119766,38.79163,-76.909366,38.995852,0.1,-0.18,-0.13,0.07,0.12
miami,florida,-80.31976,25.709052,-80.139157,25.855783,0.15,-0.15,-0.07,0.01,0.19
atlanta,georgia,-84.5511,33.6478,-84.2896,33.8868,0.13,-0.16,-0.09,0.05,0.11
new_orleans,louisiana,-90.14003,29.865481,-89.625176,30.199469,0.15,-0.11,-0.05,0.05,0.18
birmingham,alabama,-87.085831,33.360474,-86.570977,33.682093,0.08,-0.07,0.01,0.05,0.08
dallas,texas,-97.102244,32.585664,-96.582952,33.010338,0.08,-0.07,-0.02,-0.01,0.09
